UTTERANCES,CORE RELATIONS
the god father,none
show me movies directed by steven spielberg,movie.directed_by
can i see this film rating,movie.rating
home this movie is in english,movie.language
sort in all japanese movies,movie.country movie.language
can you please search for movies by steven spielberg,movie.directed_by
find movies produced by brian glazer,movie.produced_by
find all details of original finding nemo movie,none
i can't remember the lead guy in the avengers,movie.starring.actor
i can't figure out the name of the lead guy in the avengers,movie.starring.actor
see bill paxton,none
who is listed as producer of grease,movie.produced_by
name of producer for ghost busters,movie.produced_by
what movies did quentin terrantino direct,movie.directed_by
in july movie page,none
who made steel magnolias,movie.directed_by
i want a list of pg rated movies,movie.rating
movies by tom hanks,movie.directed_by
funny pg thirteen movies,movie.rating movie.genre
what are recent films by will ferrell,movie.starring.actor movie.initial_release_date
ron howard movies produce list,movie.produced_by
genre for gone with the wind,movie.genre
bring up a bio on will ferrell,none
where was black swan produced,movie.country
show me movies in english,movie.language
who was the lead actress in the hunger games,movie.starring.actor
what movies are rated pg thirteen,movie.rating
can i see what movies steven spielberg has done,movie.directed_by
show me movies in swedish,movie.language
spanish movies,movie.country movie.language
find movies of karan johar,movie.directed_by
find movies by mosfilm,movie.production_companies
find directors,none
give me a list of recent horror films,movie.genre movie.initial_release_date
looking for an action movie,movie.genre
show me movies in chinese,movie.language
what language is shindler's list in,movie.language
show me the actor of the ranam,movie.starring.actor
get me bio info for will ferrell,none
show me all rated r movies,movie.rating
find rated r movies,movie.rating
look up information about canadian movies,movie.country
when did jurassic park get released,movie.initial_release_date
search for movies directed by tyler perry,movie.directed_by
find movies from canada,movie.country
find movies in italian,movie.language
i would like to see will ferrell movies,movie.starring.actor
ondskan's language,movie.language
when was black swan in the theatre,movie.initial_release_date
show me french r rated dramas,movie.country movie.language movie.genre movie.rating
summary of in july,none
who directed the movie the thing called love,movie.directed_by
who produced hotel rwanda,movie.produced_by
show me english movies,movie.language
i want to see movies from spain,movie.country
can i watch a terry george film tonight,movie.directed_by
find love stories,movie.subjects
show me movies by twentieth century fox,movie.production_companies
who stared in i love lucy,movie.starring.actor
find movies with a nc 17 only,movie.rating
what was the budget for citizen kane,movie.estimated_budget
director of hum tum,movie.directed_by
list movies produced by sean penn,movie.produced_by
i am in the mood for a horror film,movie.genre
richard lester produced what other movies,movie.produced_by
did rob reiner direct any movies,movie.directed_by
show me french movies,movie.country movie.language
open page for finding nemo,none
can i have a list of producers,none
which movies are rated pg-13,movie.rating
find movies in spanish,movie.language
what was the date when welcome to the dollhouse was released,movie.initial_release_date
can i get a list of movies available in english,movie.language
find movies by producer,movie.produced_by
what are the names of movies with zombies in them,movie.subjects
show me information on tom hanks,none
the movie ants was produced by what person,movie.produced_by
looking for movies,none
display actors in movies,none
find movies produced by george lucus,movie.produced_by
find me some warner bros. movies,movie.production_companies
i need a list of movies produced by ray stark,movie.produced_by
check movie in july information,none
search for movies rated g,movie.rating
show me the last five films for lionsgate,movie.production_companies movie.initial_release_date
who is in the movie two can play that game,movie.starring.actor
filmography for steven spielberg,movie.directed_by
who starred in the parent trap,movie.starring.actor
look up r rated movies,movie.rating
i want to know in what language was ju on filmed,movie.language
i need a list of movies produced by clint eastwood,movie.produced_by
search movie actors,none
frank capra movies,movie.directed_by
what movies has ron howard directed,movie.directed_by
i want to see a list of g rated movies,movie.rating
what movie has albert brooks done lately,movie.starring.actor movie.initial_release_date
search for the release date of vulgaria,movie.initial_release_date
give me detailed information about the movie star wars:episode four -a new hope,none
please run a search on will ferrell and display all info returned,none
what movie did victor fleming direct,movie.directed_by
information on julia roberts,none
where can i see a list of movies produced in great britain,movie.country
what language is la havre in,movie.language
search gilda director,movie.directed_by
show me the actor of the movie varsham,movie.starring.actor
all about will farrell please,none
what are the particulars for the movie life is beautiful,none
tell me about the revenue generated by the movie avatar,movie.gross_revenue
display movies made in germany,movie.country
find prison break movies,none
show movies directed by ron howard,movie.directed_by
about movie in july,none
give me a list of some movies by producer walt disney,movie.production_companies
show french comedy films,movie.language movie.genre
show me movies from brazil,movie.country
who produced the devil wears prada,movie.produced_by
lion king release yr,movie.initial_release_date
michelle phifer movie list,movie.starring.actor
i want to see any movies will ferrell has been in,movie.starring.actor
please find what language the chaser is in,movie.language
what is the release date of the movie barfi,movie.initial_release_date
show lionsgate director movies,movie.production_companies
how long has black swan been out,movie.initial_release_date
show me movies from canada,movie.country
list of all dutch movies,movie.country movie.language
when can the help be released,movie.initial_release_date
show me information on the cast and crew of pitchperfect,movie.starring.actor
show me scifi fantasy movies,movie.genre
language of a separation,movie.language
when did happiness get released,movie.initial_release_date
i would like a list of movies that have been made in spanish,movie.language
show movies done by 7 arts,movie.production_companies
which movies were made in japan,movie.country
which actors starred in hitch,movie.starring.actor
who produced spaceballs,movie.produced_by
find info on the crew of apollo thirteen,movie.starring.actor
director of the hulk,movie.directed_by
search for actors,none
what did the movie avatar cost to make,movie.estimated_budget
hitch list producer,movie.produced_by
show me info on the movie dirty dancing please,none
please find all movies woody allen has directed,movie.directed_by
star wars,none
look up the rating for the movie dredd,movie.rating
find a movie with mel gibson,movie.starring.actor
show director clint eastwood movies,movie.directed_by
what about steven spielberg,none
what company is the producer of inception,movie.produced_by
search for movies in italian,movie.language
release date for amazing spiderman,movie.initial_release_date
who directed the movie in july,movie.directed_by
i want info on how produced hitch,movie.produced_by
find me pg movies,movie.rating
what are some movies made by searchlight films,movie.production_companies
please look up r rated movies,movie.rating
show me movies rated pg,movie.rating
italian films,movie.country movie.language
show zombie movies,movie.subjects
tell me the language of ju on,movie.language
total titanic revenues,movie.gross_revenue
current movie suggestions,movie.initial_release_date
bring up all diving related movies,movie.subjects
stephen king directed what movie,movie.directed_by
can you please search movies of tom cruise,movie.starring.actor
list movies starring angelina jolie,movie.starring.actor
what are all the movies played in by chrisian bale,movie.starring.actor
i would like to look up the budget of freedom writers,movie.estimated_budget
look for john cusack movies,movie.starring.actor
actress in hum tum,movie.starring.actor
find some zombie movies,movie.subjects
search for information about robert wise,none
show german movies,movie.country movie.language
was will smith in hitch,movie.starring.actor
who are the lead actors in life is beautiful,movie.starring.actor
what was the cast of hitch,movie.starring.actor
find oliver stone directed movies,movie.directed_by
i want only spanish movies,movie.country movie.language
who did avatar,movie.directed_by
who produced the movie the dark knight,movie.produced_by
give me information about elizabeth mcgovern,none
show me the official site for finding nemo,none
find some suspenseful movies,movie.genre
when did the movie avatar get released,movie.initial_release_date
who made godzilla,movie.directed_by movie.produced_by
browse lionsgate information,none
display all results for dirty dancing,none
show me other movies produced by james cameron,movie.produced_by
give me a list of time travel movies,movie.subjects
who are all of the actors in hitch,movie.starring.actor
can you give me more information about charles,none
genre for while you were sleeping,movie.genre
show me the producer of the godfather,movie.produced_by
find rated pg movies,movie.rating
tim burton movies,movie.directed_by
list star wars movie a new hope,none
information on finding nemo,none
cast and crew for house at the end of the street,movie.starring.actor
find sandra bullock's latest movie,movie.starring.actor movie.initial_release_date
which all movies are produced by yash chopra,movie.produced_by
will you provide a list of movies produced by clint eastwood,movie.produced_by
show me some alfred hitchcock movies,movie.directed_by
show me movies made in south africa,movie.country
what movies has albert ruddy produced,movie.produced_by
who was the main character in men in black 3,movie.starring.actor
i would like to see the main page of in july,none
i want to see a list of lionsgate movies,movie.production_companies
list rating g,movie.rating
how many producers did the movie the hitch have,movie.produced_by
any new movies with eddie murphy,movie.starring.actor movie.initial_release_date
what movies did matt damon appear in,movie.starring.actor
what are movies that have a r rating,movie.rating
what is the appropriate age for clueless,movie.rating
hitchcock movie list,movie.directed_by
show me nc seventeen movies,movie.rating
who directed return,movie.directed_by
i need to know the genre of the movie avatar,movie.genre
i want to see a robert redford produced movie,movie.produced_by
find name of main actor in the movie the help,movie.starring.actor
please tell me when was the movie gone with the wind released,movie.initial_release_date
please show me movies about ice skating,movie.subjects
which movies are based on zombies,movie.subjects
display details of in july movie,none
show me the genre of the movie avatar,movie.genre
movie with brad pitt,movie.starring.actor
is iron man 3 in theatres yet,movie.initial_release_date
list of barry sonnenfeld films,movie.directed_by
find the name of the director of chips,movie.directed_by
can you find out what the movie dredd is rated,movie.rating
country that made a separation,movie.country
look for movies starring the singer mario,movie.starring.actor
brad pitt movie now,movie.starring.actor
shows actors in shoot to kill,movie.starring.actor
what is the origin country of mirror,movie.country
avatar must have cost a bundle,movie.estimated_budget
who was the director of the movie jaws,movie.directed_by
lionsgate movies,movie.production_companies
please show me movies made in france,movie.country
genre for the avengers,movie.genre
what age is appropriate to watch marley and me,movie.rating
show me movies in spanish,movie.language
please find me some info on finding nemo,none
i would like to know when the movie step up was released,movie.initial_release_date
steven spielberg,none
who directed avatar,movie.directed_by
get me only g-rated movies,movie.rating
what movies does jake gyllenhaal star in,movie.starring.actor
what are the names of movies made in the united states,movie.country
what movies has will ferrell been in,movie.starring.actor
when was the scooby do movie released,movie.initial_release_date
tell me about the movie the campaign in detail,none
what year did the movie grease open,movie.initial_release_date
i would like info on the movie life is beautiful,none
i would like to select the option to search for movies produced by stephen spielberg,movie.produced_by
see the olsen twins,none
what was the budget for top gun,movie.estimated_budget
can you find movies with steven spielberg,movie.directed_by
when was finding nemo released,movie.initial_release_date
tom hanks movies,movie.starring.actor
watch the last james cameron movie,movie.directed_by movie.initial_release_date
movie info kristen stewart,movie.starring.actor
who was the director of the movie titanic,movie.directed_by
how can i get more information on finding nemo,none
cast and crew for hitch,movie.starring.actor
show me all films produced by warner bros.,movie.production_companies
what are some movies made in japan,movie.country
open a page about will ferrell,none
find the director for the social network,movie.directed_by
watch miramax,movie.production_companies
find the producer of moby dick,movie.produced_by
i would like to see a polish language film,movie.language
how much did titanic cost to make,movie.estimated_budget
what is the genre for movie,movie.genre
can you find movies in spanish,movie.language
display movies made by production lionsgate,movie.production_companies
what was kevin james role in hitch,movie.starring.actor movie.starring.character
yash chopra's movies,movie.directed_by
show me a list of movies directed by mel gibson,movie.directed_by
give me a list of will ferrell films,movie.starring.actor
i want to take my kids to a g movie,movie.rating
show me anne hathaway's latest movie,movie.starring.actor movie.initial_release_date
show me canadian films,movie.country
japanese movie titles,movie.country movie.language
list of dax shepard movies,movie.starring.actor
what is the ratings of action movies,movie.rating movie.genre
find all movies produced by clint eastwood,movie.produced_by
show me a list of all the movies directed by james cameron,movie.directed_by
find a list of movies directed by spielberg,movie.directed_by
who made the movie field of dreams,movie.directed_by
show me the movies rating pg,movie.rating
show actors in movies,none
what is the movie category,movie.genre
show all movies directed by woody allen,movie.directed_by
list recent films with actor bruce willis,movie.starring.actor movie.initial_release_date
show me a list of all movies directed by tom hanks starting with newest to oldest,movie.directed_by movie.initial_release_date
i would like to look for movies about god,movie.subjects
release day for the movie,movie.initial_release_date
what movies are currently playing that are rated g,movie.rating
actor from modern family,movie.starring.actor
gone with the wind's budget information please,movie.estimated_budget
show all relevant information about the director steven spielberg,none
list movie info kristen stewart,movie.starring.actor
find the guy who plays charlie on charlie's angels,movie.starring.actor movie.starring.character
can you tell me about the movie dirty dancing in detail,none
i want to see japanese movies,movie.country movie.language
find the producer of gone with the wind,movie.produced_by
which director directed a hard day's night,movie.directed_by
g movies,movie.rating
what language is the movie in,movie.language
when did lionsgate start making movies,movie.production_companies movie.initial_release_date
list director movies,movie.directed_by
search director of the movie platoon,movie.directed_by
what is the name of the company that produced the movie avatar,movie.production_companies
movies rated pg,movie.rating
list all rated r movies,movie.rating
get all italian language movies,movie.language
who's the director of pi,movie.directed_by
find info on tom hanks,none
find dreamworks movies for kids,movie.rating movie.production_companies
please list all movies that stephen spielberg produced,movie.produced_by
how many movies were filmed in asia,movie.locations
who were the stars of dirty dancing,movie.starring.actor
show me the actor of the movie sirisiri muvva,movie.starring.actor
what other videos does the country norway have,movie.country
what old movies are made by warner brothers,movie.production_companies movie.initial_release_date
find korean movies,movie.country movie.language
search director of the exorcist,movie.directed_by
what movies are made by dreamworks,movie.production_companies
find movies about gambling,movie.subjects
how much did the movie avatar cost,movie.estimated_budget
footloose,none
when is will ferrell's birthday,person.date_of_birth
what was the budget for courageous,movie.estimated_budget
what was the release date for avatar,movie.initial_release_date
what movies have robert deniro produced,movie.produced_by
display biography of actor will ferrell,none
can you show me movies spanish,movie.country movie.language
will ferrell,none
please find movies produced by clint eastwood,movie.produced_by
what actors played in the movies hitch,movie.starring.actor
rocky actor,movie.starring.actor
find me films produced by drew barrymore,movie.produced_by
show me comedies,movie.genre
find the name of the actor who played jack in the movie titanic,movie.starring.actor movie.starring.character
find twentieth century fox movies,movie.production_companies
show me movies with time travel themes,movie.subjects
find movies from france,movie.country
what was the budget for wrong turn,movie.estimated_budget
what was the budget for black swan,movie.estimated_budget
i want to find movies directed by stephen speilberg,movie.directed_by
i'm looking for the cost of some movies,movie.estimated_budget
in search for movies,none
i want movies about 9-11,movie.subjects
woody movies,movie.directed_by
show me gilda's credits,movie.starring.actor
display information for the movie life is beautiful,none
eva mendes films,movie.starring.actor
list will ferrell films,movie.starring.actor
can you tell me the genre for 1000 words,movie.genre
show me the lion king's budget,movie.estimated_budget
is parenthood a comedy,movie.genre
in what movies tom cruise is,movie.starring.actor
what are the three latest films with will ferrell,movie.starring.actor movie.initial_release_date
what pg-13 movies are currently showing,movie.rating movie.initial_release_date
find movies done in germany,movie.country
actress from gone with the wind,movie.starring.actor
see movies from spain,movie.country
find info about star wars episode four,none
goodfellas director,movie.directed_by
appropriate for kids,movie.rating
what language is the chaser in,movie.language
what was the budget for jurassic park,movie.estimated_budget
get me info for the movie dirty dancing,none
show me movies produced in french,movie.language
what movies are made by twentieth century fox television,movie.production_companies
how much did the dark night cost to produce,movie.estimated_budget
give me the genre of the movie lawless,movie.genre
find movies from japan,movie.country
movies from england please,movie.country
who directed hitch,movie.directed_by
which movies are family friendly,movie.rating
see zombie movies,movie.subjects
i want to see movies directed by ridley scott,movie.directed_by
does italy make any movies,movie.country
what movies did hitchcock direct,movie.directed_by
who directed gilda,movie.directed_by
list all brad pitt movies,movie.starring.actor
who directed the sandlot,movie.directed_by
i want to see a comedy in spanish,movie.language movie.genre
watch tom hanks,movie.starring.actor
get me information about the movie star wars four,none
can you show me a list of scary movies,movie.genre
tell about star wars iv,none
show me the name of the country from which the movie kati patang comes,movie.country
find hindi movies,movie.language
show me movies that tom hanks directed,movie.directed_by
what year was ed harris in in apollo thirteen,movie.starring.actor movie.initial_release_date
i need a list of actors,none
who played in the oranges,movie.starring.actor
darth vader,movie.starring.character
i want to know the original language of ju on,movie.language
can you please show me info on the movie dirty dancing,none
where was movie made,movie.country
show me the cast and list for dirty dancing,movie.starring.actor
show cast list for the avergers,movie.starring.actor
i want to watch a romance made in india,movie.country movie.genre
show me movies that are rated pg thirteen,movie.rating
movies about time travel,movie.subjects
who else directs zombie movies,movie.directed_by movie.subjects
find movie titles,none
get movies about zombies,movie.subjects
what movies did michael bay direct,movie.directed_by
director's profiles: hitchcock,none
search for spanish movies,movie.country movie.language
what movies have kristen stewart done,movie.starring.actor
send me movies that are in spanish,movie.language
please show me movies starring denzel washington,movie.starring.actor
find danish movies,movie.country movie.language
i want to know more about the movie life is beautiful,none
gross earnings for movies,movie.gross_revenue
show me movies in italian,movie.language
find movies that are pg,movie.rating
which productions are from stephen spilberg,movie.produced_by
look for information about charles vidor,none
language of godzilla movie,movie.language
who was the director of the movie e t,movie.directed_by
when did richard lester start directing,movie.directed_by movie.initial_release_date
show me movies with jennifer aniston,movie.starring.actor
which movies has kristen stewart been in,movie.starring.actor
movies with tom hanks,movie.starring.actor
show me a list of all movies made in the united states,movie.country
who is will ferrell,none
show sergio leone's movies,movie.directed_by
show movies in german,movie.language
movies by mel gibson,movie.directed_by
who made field of dreams,movie.directed_by
can you tell me the rating for cabin in the woods,movie.rating
how much revenue did titanic make,movie.gross_revenue
find information about tom cruise,none
list brad pitt movies,movie.starring.actor
movies with sally field,movie.starring.actor
how much did it cost to make jurassic park,movie.estimated_budget
search for the cast and crew for the movie dirty dancing,movie.starring.actor
what was the gross earnings for the avengers movie,movie.gross_revenue
give me more details about the producer ray stark,none
how much revenue did the movie avatar generate,movie.gross_revenue
how much did james cameron have to spend to make avatar,movie.estimated_budget movie.directed_by
how many movies are made in the united states,movie.country
looking of movie heroine's budget,movie.estimated_budget
can you please tell me when was karate kid released,movie.initial_release_date
list g,movie.rating
movies cecil b demille,movie.directed_by
what age is black swan appropriate for,movie.rating
what country did black beauty come from,movie.country
do you have anything by george cukor,movie.directed_by
are there any french films showing,movie.country movie.language
movies about chess,movie.subjects
I'd like a list of spanish movies,movie.country movie.language
show tom hanks movies,movie.starring.actor
person produced the blind side,movie.produced_by
show me finding nemo,none
find a list of directors and their movies,movie.directed_by
can you show me the name of the producer for cabin in the woods,movie.produced_by
production company for the hulk,movie.production_companies
what are all of the movies made in usa,movie.country
which are some of the movies that have george clooney in them,movie.starring.actor
list of g movies,movie.rating
house at the end of the street movie info,none
show me information for the movie the campaign,none
what year was the godfather released,movie.initial_release_date
find movies produced by morgan freeman,movie.produced_by
show only g rated movies,movie.rating
names of romantic indian films,movie.country movie.language movie.genre
bring me to will ferrell informaion,none
can i see what the lion king's budget was,movie.estimated_budget
how many movies has darla anderson produced,movie.produced_by
what language is ju on on,movie.language
what are all movies made by united states,movie.country
compile a list of movies with a r rating,movie.rating
i need movies directed by oliver stone,movie.directed_by
can you find more information on albert ruddy,none
list some movies that are in french,movie.language
ed harris films,movie.starring.actor
which decade did the movie come out,movie.initial_release_date
find movies rated pg,movie.rating
pull up spielberg,none
show me movies produced by stephen spielberg,movie.produced_by
the godfather came out when,movie.initial_release_date
show me korean language movie,movie.language
show all details of original finding nemo movie,movie.initial_release_date
search for dirty dancing,none
please show me info on the movie the campaign,none
what year was the hobbit relased,movie.initial_release_date
who was the lead actor in the avengers,movie.starring.actor
find out the genre for the movie annamayya,movie.genre
show me diving movies,movie.subjects
when was dirty dancing released,movie.initial_release_date
list movies directed by james cameron,movie.directed_by
give me a list of movies that george lucas produced,movie.produced_by
movie little women release date is when,movie.initial_release_date
show me the release date of the movie barfi,movie.initial_release_date
who directed the movie called avatar,movie.directed_by
what role did sarah polley play in go,movie.starring.actor movie.starring.character
i want information about the movie in july,none
bio on will ferrell,none
show movie ratings,movie.rating
finding nemo movie shortcut,none
show me cameron diaz movies,movie.starring.actor
show movies concerning war,movie.subjects
what are some japanese movies,movie.country movie.language
dirty dancing movie short cuts,none
can you please list the movies brad pitt has acted in,movie.starring.actor
what is the name of the actor who was in the parent trap,movie.starring.actor
who was the director of forest gump,movie.directed_by
find movies filmed in canada,movie.country
i don't want any g rated movies,movie.rating
look for information about paramount studios,none
can i see the cast and crew for house at the end of the street,movie.starring.actor
who starred in taxi,movie.starring.actor
find synopsis for life is beautiful,none
please show me info on the movie dirty dancing,none
what movies are in italian,movie.language
rating g list,movie.rating
show me pg rated movies,movie.rating
find movies from miramax,movie.production_companies
how many movies has angelina jolie been in,movie.starring.actor
i would like to watch movies that are spoken in spanish,movie.language
find time travel movies,movie.subjects
will you show the cost to produce the deer hunter,movie.estimated_budget
find movies with pg-13 only,movie.rating
list movies by searchlight films,movie.production_companies
find movies is french,movie.language
what genre is the movie lawless,movie.genre
find me more information on scorscese,none
i would like to look for the director of freedom writers,movie.directed_by
show me movies with pg ratings,movie.rating
which company produced the terminator,movie.production_companies
i need general information on finding nemo,none
can i take my 13 year old to see american pie,movie.rating
what company produced cabin in the woods,movie.production_companies
what other movies die charles vidor direct,movie.directed_by
when was house at the end of the street released,movie.initial_release_date
show me movies made in england,movie.country
who were roberto benigni's costars on life is beautiful,movie.starring.actor
show me childrens movies,movie.genre
how many movies did hitchcock direct,movie.directed_by
which movies are originally in a foreign language,movie.language
what movies have brad pitt,movie.starring.actor
twentieth century fox movies since 1990,movie.initial_release_date
producer for ms. congeniality,movie.produced_by
i want to see more movies with katie holmes,movie.starring.actor
what year was the movie released,movie.initial_release_date
search for movies about dancing,movie.subjects
which director directed avatar,movie.directed_by
time travel movies,movie.subjects
is this a foreign film,movie.country
can i see the cast and crew for the movie in july,movie.starring.actor
actors in star wars four,movie.starring.actor
budget for titanic,movie.estimated_budget
display all details of original finding nemo movie,none
show data for the movie in july,none
look for french movies,movie.country movie.language
show biography for director steven spielberg,none
show me a bio of will ferrell,none
when was the movie step up released,movie.initial_release_date
i want a list of movies rated g,movie.rating
show me a list of musicals,movie.genre
show me some films produced by jon landau,movie.produced_by
genre for transformers,movie.genre
what was the relase date for men in black,movie.initial_release_date
what was the name of the director in men in black 3,movie.directed_by
show me detailed information about the movie in july,none
when was tom cruise born,person.date_of_birth
find movies directed by eddie murphy,movie.directed_by
what are all of the movies acted in by the actor christian bale,movie.starring.actor
what is the name of the person who made et,movie.directed_by
show movies charlie sheen,movie.starring.actor
who produced the movie,movie.produced_by
what movies did kevin costner direct,movie.directed_by
give me the name of the country for the movie thoda pyaar thoda magic,movie.country
i would like to watch an alfred hitchcock movie,movie.directed_by
what movies did harry weinstein produce,movie.produced_by
i want to see movies produced by warner bros,movie.production_companies
angelina jolie movies,movie.starring.actor
show information for the movie house at the end of the street,none
list all steven spielberg movies,movie.directed_by
give me a list of some indian movies,movie.country movie.language
can you tell me what genre the movie avatar falls in,movie.genre
display movies in german,movie.language
find french movies,movie.country movie.language
what audience will watch black swan,movie.rating
what type of audience can watch cars,movie.rating
i want to look up alfred hitchcock movies,movie.directed_by
release date for the hunger games,movie.initial_release_date
list me the actors for top gun,movie.starring.actor
look for cher movies,movie.starring.actor
movies about bank robberies,movie.subjects
how many movies has tom hanks starred in,movie.starring.actor
when did theaters show resident evil,movie.initial_release_date
who produced godfather,movie.produced_by
show me a list of disney movies,movie.production_companies
when was hum tum relesed,movie.initial_release_date
are there any movies in greek,movie.language
i would like to get names of some movies with pg thirteen rating,movie.rating
find movies with tom cruise,movie.starring.actor
look up info about jurassic park's director,movie.directed_by
videos of steven spielberg,movie.directed_by
find movies produced by george lucas,movie.produced_by
show me a list of movies in english,movie.language
what is the genre for the patriot,movie.genre
show me details about the directors of gone with the wind,movie.directed_by
movies from russia,movie.country
italian movies,movie.country movie.language
who was the lead man in taxi driver,movie.starring.actor
how many films has ed harris starred in,movie.starring.actor
did the avatar movie have a budget for spending,movie.estimated_budget
show me r movies,movie.rating
give me a list of r rated movies,movie.rating
get info on lionsgate,none
what other movies has will smith directed,movie.directed_by
i need a movie producer list,none
i want more information on richard lester,none
how many movies has tom cruise starred in,movie.starring.actor
how many movies has steven spielberg directed,movie.directed_by
find french language movies,movie.language
what is tom cruise's birthday,person.date_of_birth
i want to see a list of movies that were made in france,movie.country
look up finding nemo,none
movie actors,none
show details of the original finding nemo,none
have any new movies by twentieth century fox,movie.production_companies movie.initial_release_date
search for movies about ice skating,movie.subjects
show me the latest movies in kannada,movie.language
search for movies with a pg rating,movie.rating
i want to see movies that are rated pg,movie.rating
i want to find pg-13 rated movies,movie.rating
how much was hunger games made for,movie.estimated_budget
show me spielberg's info,none
can you find some drama movies,movie.genre
how can i view dirty dancing,none
what was the revenue for toy story 3,movie.gross_revenue
find movies directed by oliver stone,movie.directed_by
when is iron man 3 coming out,movie.initial_release_date
i want to look for movies with an r rating,movie.rating
i want to see a movie which was directed by scorsese,movie.directed_by
find movies that are rated pg-13,movie.rating
show me italian movies,movie.country movie.language
when can i see top gun,movie.initial_release_date
show a list of recent releases that are rated pg,movie.rating movie.initial_release_date
what year did moon over parador come out,movie.initial_release_date
who was the lead actor in hitch,movie.starring.actor
list the budget for avatar,movie.estimated_budget
show bette midler movies,movie.starring.actor
what movie brad pitt in,movie.starring.actor
find me info on emma watson,none
what is the campaign about,none
how much money was budgeted for the avatar movie,movie.estimated_budget
how much did the studio spend to make avatar,movie.estimated_budget
will you please show me info on the movie dirty dancing,none
how much money did pretty woman take in,movie.gross_revenue
details about life is beautiful please,none
list all movies rated pg-13,movie.rating
movie made in mandarin,movie.language
when was the first hunger games shown,movie.initial_release_date
what is the plot of vulgaria,none
i want to see infomation on the movie dirty dancing,none
who is the producer of the godfather,movie.produced_by
i need details steven spielberg now,none
show me a list of movies that are new and rated pg-13,movie.rating movie.initial_release_date
i need to get a list of some romantic indian movies,movie.country movie.language movie.genre
list tom hanks movies for me,movie.starring.actor
what movies has angelina jolie been in,movie.starring.actor
look at paramount,none
what other movies did tom hanks star in,movie.starring.actor
want to see charles vidor,none
who is the director of return,movie.directed_by
what movies have albert ruddy produced,movie.produced_by
i would like to get detailed information about the movie in july,none
find movies with g rating,movie.rating
gone with the wind's budget,movie.estimated_budget
give me anything directed by robert wise,movie.directed_by
find me stats about steven spielberg,none
i would like to know names of some indian movies,movie.country movie.language
please show me who produces madagascar,movie.produced_by
movies by alfred hitchcock,movie.directed_by
i only want movies by sidney lumit,movie.directed_by
who directed the music in gone with the wind,movie.music
can you show me a movie with brad pitt,movie.starring.actor
show back to the future movies,none
show me brad pitt movies,movie.starring.actor
show me the dirty dancing movie,none
what was the dark night budget,movie.estimated_budget
show me movies that are rated r,movie.rating
learn more about kristen stewart,none
list statham's movies,movie.starring.actor
i would love to see some movies produced by the wb,movie.production_companies
how much did batman begins cost,movie.estimated_budget
what movies has jack black been in,movie.starring.actor
show finding nemo,none
can you tell me whats the rating of movie avatar,movie.rating
list movies directed by clint eastwood,movie.directed_by
run a search for the campaign,none
old man director,movie.directed_by
i want to look for movies produced by morgan freeman,movie.produced_by
what is the classification of movie,movie.genre
what is the rating for dark knight,movie.rating
what are some recent released pg movies,movie.rating movie.initial_release_date
show me westerns,movie.genre
how much was the total budget for the titanic,movie.estimated_budget
cast hitch,movie.starring.actor
information for vivian lee,none
kareena's movies,movie.starring.actor
karate kid release date,movie.initial_release_date
list movies rated pg,movie.rating
what other movies has bill paxton starred in,movie.starring.actor
will ferrell's biography,none
